"year","unitid","inst_name","state_name","level_of_study","enrollment_fall"
"1999","229063","TEXAS SOUTHERN UNIVERSITY","Texas","Undergraduate","4423"
"1999","229063","TEXAS SOUTHERN UNIVERSITY","Texas","Graduate","949"
"1999","229063","TEXAS SOUTHERN UNIVERSITY","Texas","First professional","1150"
"1999","229115","TEXAS TECH UNIVERSITY","Texas","Undergraduate","20227"
"1999","229115","TEXAS TECH UNIVERSITY","Texas","Graduate","3424"
"1999","229115","TEXAS TECH UNIVERSITY","Texas","First professional","598"
"1999","229179","TEXAS WOMAN'S UNIVERSITY","Texas","Undergraduate","4730"
"1999","229179","TEXAS WOMAN'S UNIVERSITY","Texas","Graduate","3894"
"1999","229300","THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER","Texas","Undergraduate","262"
"1999","229300","THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER","Texas","Graduate","1828"
"1999","229300","THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER","Texas","First professional","1080"
"1999","229337","TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER","Texas","Undergraduate","553"
"1999","229337","TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER","Texas","Graduate","348"
"1999","229337","TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER","Texas","First professional","749"
"1999","229814","WEST TEXAS A & M UNIVERSITY","Texas","Undergraduate","5521"
"1999","229814","WEST TEXAS A & M UNIVERSITY","Texas","Graduate","1130"
"1999","407009","ARIZONA STATE UNIVERSITY-WEST","Arizona","Undergraduate","3737"
"1999","407009","ARIZONA STATE UNIVERSITY-WEST","Arizona","Graduate","1206"
"1999","416801","THE UNIVERSITY OF TEXAS ANDERSON CANCER CENTER","Texas","Undergraduate","20"
"1999","420574","ARIZONA STATE UNIVERSITY EAST","Arizona","Undergraduate","1105"
"1999","420574","ARIZONA STATE UNIVERSITY EAST","Arizona","Graduate","361"
"1999","431114","EDUCATION SERVICE CENTER-REGION 2","Texas","Graduate","70"
"1999","433660","FLORIDA GULF COAST UNIVERSITY","Florida","Undergraduate","2649"
"1999","433660","FLORIDA GULF COAST UNIVERSITY","Florida","Graduate","643"
"1998","104151","ARIZONA STATE UNIVERSITY-MAIN CAMPUS","Arizona","Undergraduate","33268"
"1998","104151","ARIZONA STATE UNIVERSITY-MAIN CAMPUS","Arizona","Graduate","10006"
"1998","104151","ARIZONA STATE UNIVERSITY-MAIN CAMPUS","Arizona","First professional","458"
"1998","104151","ARIZONA STATE UNIVERSITY-MAIN CAMPUS","Arizona","Postbaccalaureate","10464"
"1998","104179","UNIVERSITY OF ARIZONA","Arizona","Undergraduate","26155"
"1998","104179","UNIVERSITY OF ARIZONA","Arizona","Graduate","7040"
"1998","104179","UNIVERSITY OF ARIZONA","Arizona","First professional","1096"
"1998","104179","UNIVERSITY OF ARIZONA","Arizona","Postbaccalaureate","8136"
"1998","105330","NORTHERN ARIZONA UNIVERSITY","Arizona","Undergraduate","13906"
"1998","105330","NORTHERN ARIZONA UNIVERSITY","Arizona","Graduate","6034"
"1998","105330","NORTHERN ARIZONA UNIVERSITY","Arizona","Postbaccalaureate","6034"
"1998","132523","GOODING INSTITUTE OF NURSE ANESTHESIA","Florida","Graduate","19"
"1998","132523","GOODING INSTITUTE OF NURSE ANESTHESIA","Florida","Postbaccalaureate","19"
"1998","132903","UNIVERSITY OF CENTRAL FLORIDA","Florida","Undergraduate","25151"
"1998","132903","UNIVERSITY OF CENTRAL FLORIDA","Florida","Graduate","5055"
"1998","132903","UNIVERSITY OF CENTRAL FLORIDA","Florida","Postbaccalaureate","5055"
"1998","133650","FLORIDA AGRICULTURAL AND MECHANICAL UNIVERSITY","Florida","Undergraduate","10492"
"1998","133650","FLORIDA AGRICULTURAL AND MECHANICAL UNIVERSITY","Florida","Graduate","931"
"1998","133650","FLORIDA AGRICULTURAL AND MECHANICAL UNIVERSITY","Florida","First professional","405"
"1998","133650","FLORIDA AGRICULTURAL AND MECHANICAL UNIVERSITY","Florida","Postbaccalaureate","1336"
"1998","133669","FLORIDA ATLANTIC UNIVERSITY-BOCA RATON","Florida","Undergraduate","16017"
"1998","133669","FLORIDA ATLANTIC UNIVERSITY-BOCA RATON","Florida","Graduate","3379"
"1998","133669","FLORIDA ATLANTIC UNIVERSITY-BOCA RATON","Florida","Postbaccalaureate","3379"
"1998","133951","FLORIDA INTERNATIONAL UNIVERSITY","Florida","Undergraduate","24807"
"1998","133951","FLORIDA INTERNATIONAL UNIVERSITY","Florida","Graduate","5614"
"1998","133951","FLORIDA INTERNATIONAL UNIVERSITY","Florida","Postbaccalaureate","5614"
"1998","134097","FLORIDA STATE UNIVERSITY","Florida","Undergraduate","24699"
"1998","134097","FLORIDA STATE UNIVERSITY","Florida","Graduate","5718"
"1998","134097","FLORIDA STATE UNIVERSITY","Florida","First professional","654"
"1998","134097","FLORIDA STATE UNIVERSITY","Florida","Postbaccalaureate","6372"
"1998","134130","UNIVERSITY OF FLORIDA","Florida","Undergraduate","31477"
"1998","134130","UNIVERSITY OF FLORIDA","Florida","Graduate","8060"
"1998","134130","UNIVERSITY OF FLORIDA","Florida","First professional","2799"
"1998","134130","UNIVERSITY OF FLORIDA","Florida","Postbaccalaureate","10859"
"1998","136172","UNIVERSITY OF NORTH FLORIDA","Florida","Undergraduate","9831"
"1998","136172","UNIVERSITY OF NORTH FLORIDA","Florida","Graduate","1706"
"1998","136172","UNIVERSITY OF NORTH FLORIDA","Florida","Postbaccalaureate","1706"
"1998","137351","UNIVERSITY OF SOUTH FLORIDA","Florida","Undergraduate","25565"
"1998","137351","UNIVERSITY OF SOUTH FLORIDA","Florida","Graduate","7708"
"1998","137351","UNIVERSITY OF SOUTH FLORIDA","Florida","First professional","381"
"1998","137351","UNIVERSITY OF SOUTH FLORIDA","Florida","Postbaccalaureate","8089"
"1998","138354","THE UNIVERSITY OF WEST FLORIDA","Florida","Undergraduate","6329"
"1998","138354","THE UNIVERSITY OF WEST FLORIDA","Florida","Graduate","1674"
"1998","138354","THE UNIVERSITY OF WEST FLORIDA","Florida","Postbaccalaureate","1674"
"1998","138716","ALBANY STATE UNIVERSITY","Georgia","Undergraduate","2771"
"1998","138716","ALBANY STATE UNIVERSITY","Georgia","Graduate","429"
"1998","138716","ALBANY STATE UNIVERSITY","Georgia","Postbaccalaureate","429"
"1998","138789","ARMSTRONG ATLANTIC STATE UNIVERSITY","Georgia","Undergraduate","5054"
"1998","138789","ARMSTRONG ATLANTIC STATE UNIVERSITY","Georgia","Graduate","516"
"1998","138789","ARMSTRONG ATLANTIC STATE UNIVERSITY","Georgia","Postbaccalaureate","516"
"1998","138983","AUGUSTA STATE UNIVERSITY","Georgia","Undergraduate","4564"
"1998","138983","AUGUSTA STATE UNIVERSITY","Georgia","Graduate","731"
"1998","138983","AUGUSTA STATE UNIVERSITY","Georgia","Postbaccalaureate","731"
"1998","139311","CLAYTON COLLEGE AND STATE UNIVERSITY","Georgia","Undergraduate","4274"
