year,unitid,inst_name,state_name,admission_rate,enrollement_rate,number_applied,number_admitted,number_enrolled_ft,number_enrolled_pt,number_enrolled_total,zip,region,inst_category,inst_size,longitude,latitude,default_rate,default_rate_denom,rev_tuition_fees_gross,rev_tuition_fees_net,rev_appropriations_local,rev_grants_contracts_local,rev_fed_approps_grants,rev_state_local_approps_grants,rev_gifts_grants_contracts,rev_other,rev_operating,rev_nonoperating,rev_total_current,exp_instruc_total,exp_research_total,exp_pub_serv_total,exp_res_pub_serv_total,exp_acad_supp_total,exp_student_serv_total,exp_total_current,exp_total_salaries,exp_total_benefits,endowment_beg,endowment_end,total_revenues_additions,total_expenses_deductions,completers_150pct,completion_rate_150pct,room_board_charge,independent_pct,female_pct,married_pct,faminc_med
1990,104151,ARIZONA STATE UNIVERSITY,Arizona,,,,,,,,85287,"Southwest: AZ, NM, OK, and TX",,,,,,,112588008,,,1307622,51397564,213981168,18313128,16936858,,,466264800,146537456,40467628,18508308,58975936,56955532,20889168,473977888,211306896,36749832,,,,,,,,,,,
1991,104151,ARIZONA STATE UNIVERSITY,Arizona,,,,,,,,,,,,,,,,113817000,,,1149000,56720000,212274976,20520000,18225000,,,472641984,143163008,46498000,18842000,65340000,58438000,20434000,473750016,212072992,39324000,,,,,,,,,,,
1992,104151,ARIZONA STATE UNIVERSITY,Arizona,,,,,,,,85287,"Southwest: AZ, NM, OK, and TX",,,,,,,110166000,,,1265000,57107000,188756000,22079000,19668000,,,448894016,130284000,43669000,18755000,62424000,52912000,18224000,441428544,197100000,34748000,,,,,,,,,,,
1993,104151,ARIZONA STATE UNIVERSITY-MAIN CAMPUS,Arizona,,,,,,,,85287,"Southwest: AZ, NM, OK, and TX",,,,,,,123180000,,,1003000,57864000,190708992,23025000,22683000,,,474236992,136344000,42441000,19840000,62281000,53676000,19499000,463808992,201222000,35548000,,,,,,,4600,,,,
1994,104151,ARIZONA STATE UNIVERSITY-MAIN CAMPUS,Arizona,,,,,,,,85287,"Southwest: AZ, NM, OK, and TX",,,,,,,132915000,,,1251000,67621000,204476992,22441000,14568000,,,508419008,155595008,48418000,21239000,69657000,57732000,20020000,500596000,221119008,43222000,,,,,,,4690,,,,
1995,104151,ARIZONA STATE UNIVERSITY-MAIN CAMPUS,Arizona,,,,,,,,85287,"Southwest: AZ, NM, OK, and TX",,,,,,,142662000,,,1291000,75647000,214739008,26096000,14965000,,,547308032,168816992,52990000,26276000,79266000,66365000,20028000,555281024,236916000,41954000,,,,,,,,,,,
1996,104151,ARIZONA STATE UNIVERSITY-MAIN CAMPUS,Arizona,,,,,,,,85287,"Southwest: AZ, NM, OK, and TX",,,,,,,152776992,,,2000000,71471000,223148000,28183000,17267000,,,572110976,177686000,49900000,24317000,74217000,66783000,22146000,561256000,252386000,43074000,35418000,43798000,,,1185,0.484,,,,,
1997,104151,ARIZONA STATE UNIVERSITY-MAIN CAMPUS,Arizona,,,,,,,,85287,"Southwest: AZ, NM, OK, and TX",,,,,,,166622000,,,1550000,78151000,243976000,30679000,16400000,,,619580032,192624992,56063000,25634000,81697000,70214000,25298000,620425024,279753984,46757000,43798000,52509000,,,1355,0.467,,0.401675,0.569911,0.143881,26192
1998,104151,ARIZONA STATE UNIVERSITY-MAIN CAMPUS,Arizona,,,,,,,,,,,,,,,,171195008,,,2067000,89755000,266746016,32841000,17123000,,,666182976,209234000,70039000,26181000,96220000,72070000,26523000,645966976,301945984,50691000,52509000,60005000,,,1556,0.472,,0.395212,0.570991,0.140739,26859.5
1999,104151,ARIZONA STATE UNIVERSITY-MAIN CAMPUS,Arizona,,,,,,,,85287,"Southwest: AZ, NM, OK, and TX",,,,,,,179747696,,,4129200,83580896,279632128,39681300,18560800,,,695986112,218655808,68928400,27676300,96604704,76095296,27901400,672878016,313496192,52527600,60005000,63859000,,,1811,0.472,,0.397582,0.571799,0.143126,28107
2000,104151,ARIZONA STATE UNIVERSITY-MAIN CAMPUS,Arizona,,,,,,,,,,,,,,,,193330000,,,3554000,98901000,285396992,42653000,21110000,,,737134016,230900992,75474000,27861000,103335000,90148000,30206000,725091968,334560000,57172000,63859000,60371000,,,1941,0.492,5240,0.383989,0.568473,0.139922,30157
2001,104151,ARIZONA STATE UNIVERSITY-MAIN CAMPUS,Arizona,0.752696419,0.395045217,20861,15702,5983,220,6203,85287,"Southwest: AZ, NM, OK, and TX",,,,,,,213935008,169168000,,3696000,109173000,277620000,42571000,39471000,395672000,328179008,757889024,281203328,85078200,29016660,114094864,90315456,32206918,724043008,364753376,62431928,,,757889024,724043008,2077,0.519,5240,0.386702,0.560438,0.145523,32000
2002,104151,ARIZONA STATE UNIVERSITY-MAIN CAMPUS,Arizona,0.847424952,0.412609685,18155,15385,6128,220,6348,85287,"Southwest: AZ, NM, OK, and TX",,,,,,,221455008,183556000,,21996000,121279000,305301984,21619000,25524000,444124000,307872000,760470976,288129696,106446064,32172258,138618320,91586424,32810496,754534016,379853024,72190048,56921000,61750000,760470976,754534016,2568,0.52,,0.386748,0.563042,0.148799,33217
2003,104151,ARIZONA STATE UNIVERSITY-MAIN CAMPUS,Arizona,0.884003033,0.407432819,19785,17490,6906,220,7126,85287,"Southwest: AZ, NM, OK, and TX",,,,,,,275820000,221039008,,22005000,132400000,306804000,26408000,42755000,501952000,321544992,838414016,307579232,110767400,31118944,141886336,110302928,33253956,836313024,399468096,87264456,61750000,69682000,838414016,836313024,2594,0.546,,0.375877,0.566987,0.143571,33130
2004,104151,ARIZONA STATE UNIVERSITY AT THE TEMPE CAMPUS,Arizona,0.860984174,0.39929605,20789,17899,6917,230,7147,85287,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above",,,,,,331756000,267239008,,23279000,155626000,325827008,31351000,35658000,578102016,350510016,939787008,364841728,123734736,39114364,162849104,126081992,40742620,941476992,444252096,102594240,68027000,74776000,939787008,941476992,3090,0.549,,0.365231,0.561103,0.135377,32763
2005,104151,Arizona State University at the Tempe Campus,Arizona,0.91021392,0.425135165,19914,18126,7396,310,7706,85287,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",,,,,369411008,298472000,,27847000,166731008,360796992,39907000,45530000,647040000,389623008,1043545984,374654016,144557840,42782552,187340384,140387840,45985048,1032345024,483057664,117347312,275128224,392082816,1043545984,1032345024,3249,0.564,,0.347685,0.5526,0.125603,34494
2006,104151,Arizona State University at the Tempe Campus,Arizona,0.924210221,0.412585585,20702,19133,7076,818,7894,85287,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",,,,,400718016,324804992,,23846000,169972000,375287008,38449000,77219000,683174016,420838016,1139879040,387951136,164392944,41548716,205941664,146113600,48654248,1105217024,480597408,138391152,392083008,474356000,1139879040,1105217024,3305,0.555,,0.334201,0.547637,0.120446,36306
2007,104151,Arizona State University at the Tempe Campus,Arizona,0.924210221,0.412585585,20702,19133,7076,818,7894,85287,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",,,,,526304992,436656992,,42400000,188956000,546892032,42620000,83807000,794076992,636356992,1470974976,544786816,196455840,50890112,247345952,197054880,63754720,1467051008,626572480,180657744,478384992,493585984,1470974976,1467051008,3412,0.56,,0.327105,0.54701,0.117771,38053.5
2008,104151,Arizona State University,Arizona,0.94310248,0.394571137,24922,23504,8664,610,9274,85287,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",,,,,608446976,499467008,,58004000,200272000,495332992,49211000,137914000,848353984,643963008,1523190016,541765760,215431344,51351924,266783264,204290656,61225508,1465565952,626352128,192930656,493585984,407888992,1523190016,1465565952,3800,0.558,,0.321224,0.545058,0.115875,39709.5
2009,104151,Arizona State University,Arizona,0.903429436,0.396641196,27089,24473,8458,1249,9707,85287,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",-111.932,33.4175,,,711137984,566318976,,48006000,274483008,461023008,45847000,59126000,949038976,630713024,1607184000,581243008,222786000,47163000,269948992,207676992,58236000,1522401024,644092992,209404000,407888992,441257984,1607184000,1522401024,4279,0.587,,0.321584,0.538997,0.112706,39771.5
2010,104151,Arizona State University,Arizona,0.905031091,0.364772017,28304,25616,8261,1083,9344,85287,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",-111.932,33.4175,,,811454976,639324032,,42496000,322761984,451564992,50584000,23123000,1045483008,635174976,1705041024,614468992,239311008,50710000,290020992,219962000,62651000,1611395968,670328000,219196992,441257984,514724000,1705041024,1611395968,4556,0.575,,0.33005,0.537712,0.114681,38752
2011,104151,Arizona State University,Arizona,0.866447214,0.369994185,29771,25795,7544,2000,9544,85287,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",-111.94,33.4219,0.059,9936,952563008,757217024,,39598000,340524992,380299008,55329000,19974000,1155341056,555750016,1736054016,588643968,242031008,51398000,293428992,222516000,75163000,1614925952,662160000,224663008,514724000,500667008,1736054016,1614925952,4849,0.568,,0.357913,0.537657,0.125534,37477.5
2012,104151,Arizona State University,Arizona,0.889072068,0.350198675,29722,26425,9082,172,9254,85287,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",-111.94,33.4219,0.08,11015,1005772032,802964992,,53759000,328567008,378700992,59807000,19132000,1227473024,549651968,1799206016,622907008,258647008,49314000,307961024,246406000,81620000,1714157056,696233984,230266000,500667008,552788992,1799206016,1714157056,4346,0.595,,0.39042,0.53439,0.136249,36682
2013,104151,Arizona State University-Tempe,Arizona,0.802250804,0.410592614,21770,17465,7114,57,7171,85287,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",-111.94,33.4219,0.085,12563,1117857024,896921024,,30581000,353375008,375913984,64928000,24740000,1348644992,582579968,1962434048,696208000,269688000,44291000,313979008,269188000,89034000,1859121024,744364032,261416992,552788992,625833024,1962434048,1859121024,4277,0.634,,0.404722,0.533957,0.147352,37522
