"year","unitid","inst_name","state_name","years_since_entering_repay","repay_rate","repay_rate_female","repay_rate_male","repay_rate_firstgen","repay_count_female","repay_count_male","repay_count_firstgen"
"2016","135188","Lake-Sumter State College","Florida","3","0.473186","0.485294","0.451327","0.5","204","113","160"
"2016","135188","Lake-Sumter State College","Florida","5","0.460815","0.47234","0.428571","0.5","235","84","176"
"2016","135188","Lake-Sumter State College","Florida","7","0.515464","0.511111","0.530303","0.551471","225","66","136"
"2016","135391","State College of Florida-Manatee-Sarasota","Florida","3","0.383279","0.386551","0.377451","0.36275","2543","1428","1949"
"2016","135391","State College of Florida-Manatee-Sarasota","Florida","5","0.391294","0.406367","0.364247","0.377852","2670","1488","2104"
"2016","135391","State College of Florida-Manatee-Sarasota","Florida","7","0.428761","0.440394","0.404858","0.412802","2030","988","1531"
"2016","135717","Miami Dade College","Florida","3","0.403973","0.39591","0.417234","0.401843","4352","2646","3581"
"2016","135717","Miami Dade College","Florida","5","0.485488","0.490573","0.476841","0.468535","2864","1684","2177"
"2016","135717","Miami Dade College","Florida","7","0.490975","0.493012","0.486943","0.478844","2576","1302","1938"
"2016","136172","University of North Florida","Florida","3","0.588224","0.577066","0.605066","0.577577","3218","2132","1882"
"2016","136172","University of North Florida","Florida","5","0.647396","0.650289","0.642857","0.632919","2768","1764","1610"
"2016","136172","University of North Florida","Florida","7","0.677931","0.666943","0.696441","0.657373","2414","1433","1363"
"2016","136233","Northwest Florida State College","Florida","3","0.508918","0.490458","0.539432","0.516418","524","317","335"
"2016","136233","Northwest Florida State College","Florida","5","0.485275","0.47318","0.509652","0.498576","522","259","351"
"2016","136233","Northwest Florida State College","Florida","7","0.539474","0.538278","0.542105","0.521073","418","190","261"
"2016","136358","Palm Beach State College","Florida","3","0.392704","0.384829","0.404535","0.365394","2518","1676","2069"
"2016","136358","Palm Beach State College","Florida","5","0.439489","0.441288","0.43679","0.427024","2112","1408","1754"
"2016","136358","Palm Beach State College","Florida","7","0.489481","0.505703","0.463592","0.464","1315","824","1000"
"2016","136400","Pasco-Hernando State College","Florida","3","0.344828","0.341121","0.351582","0.344886","1498","822","1183"
"2016","136400","Pasco-Hernando State College","Florida","5","0.373368","0.385329","0.353909","0.376518","1186","729","988"
"2016","136400","Pasco-Hernando State College","Florida","7","0.480035","0.484085","0.47185","0.478102","754","373","548"
"2016","136473","Pensacola State College","Florida","3","0.499153","0.507812","0.48301","0.477462","768","412","599"
"2016","136473","Pensacola State College","Florida","5","0.472281","0.50079","0.413115","0.471092","633","305","467"
"2016","136473","Pensacola State College","Florida","7","0.579977","0.590244","0.555118","0.559702","615","254","402"
"2016","136516","Polk State College","Florida","3","0.357529","0.359469","0.354077","0.334821","829","466","672"
"2016","136516","Polk State College","Florida","5","0.597222","0.587786","0.622449","0.572165","262","98","194"
"2016","136516","Polk State College","Florida","7","0.61597","0.628141","0.578125","0.645161","199","64","124"
"2016","137078","St Petersburg College","Florida","3","0.320275","0.32385","0.314162","0.305897","7522","4399","5698"
"2016","137078","St Petersburg College","Florida","5","0.386092","0.39202","0.375519","0.375443","6441","3611","4797"
"2016","137078","St Petersburg College","Florida","7","0.450201","0.457332","0.434296","0.4428","3785","1697","2500"
"2016","137096","Santa Fe College","Florida","3","0.353777","0.349492","0.35959","0.325417","3445","2539","2695"
"2016","137096","Santa Fe College","Florida","5","0.403353","0.391825","0.418443","0.358621","3009","2299","2320"
"2016","137096","Santa Fe College","Florida","7","0.489176","0.469586","0.515979","0.464529","2055","1502","1466"
"2016","137209","Seminole State College of Florida","Florida","3","0.322902","0.307385","0.349473","0.322413","6012","3511","4243"
"2016","137209","Seminole State College of Florida","Florida","5","0.387531","0.378041","0.403001","0.366375","4563","2799","3319"
"2016","137209","Seminole State College of Florida","Florida","7","0.454823","0.458846","0.447504","0.442889","2114","1162","1357"
"2016","137281","Saint Johns River State College","Florida","3","0.329169","0.318219","0.350318","0.321346","1213","628","862"
"2016","137281","Saint Johns River State College","Florida","5","0.41118","0.403272","0.425569","0.400778","1039","571","771"
"2016","137281","Saint Johns River State College","Florida","7","0.444003","0.434053","0.463529","0.427169","834","425","611"
"2016","137315","South Florida State College","Florida","3","0.460581","0.448276","0.479167","0.507576","145","96","132"
"2016","137315","South Florida State College","Florida","5","0.494163","0.46988","0.538462","0.515152","166","91","132"
"2016","137315","South Florida State College","Florida","7","0.573604","0.567376","0.589286","0.516484","141","56","91"
"2016","137351","University of South Florida-Main Campus","Florida","3","0.574913","0.570558","0.581529","0.559334","8702","5728","5705"
"2016","137351","University of South Florida-Main Campus","Florida","5","0.637463","0.635749","0.640112","0.612468","8280","5360","5117"
"2016","137351","University of South Florida-Main Campus","Florida","7","0.691972","0.691267","0.693153","0.67012","7168","4279","4344"
"2016","137759","Tallahassee Community College","Florida","3","0.292855","0.289691","0.296797","0.269735","4239","3403","3737"
"2016","137759","Tallahassee Community College","Florida","5","0.342026","0.349706","0.332194","0.317788","3746","2926","3345"
"2016","137759","Tallahassee Community College","Florida","7","0.447061","0.449702","0.443435","0.413989","3022","2201","2459"
"2016","138187","Valencia College","Florida","3","0.319749","0.311661","0.331067","0.308031","8644","6177","7035"
"2016","138187","Valencia College","Florida","5","0.369081","0.373347","0.363337","0.36029","6956","5166","5651"
"2016","138187","Valencia College","Florida","7","0.454623","0.460915","0.445516","0.44602","3454","2386","2538"
"2016","138354","The University of West Florida","Florida","3","0.534757","0.523771","0.552787","0.512119","2503","1525","1609"
"2016","138354","The University of West Florida","Florida","5","0.59145","0.580972","0.609692","0.574074","1976","1135","1188"
"2016","138354","The University of West Florida","Florida","7","0.66534","0.657177","0.680974","0.651435","1651","862","941"
"2016","138558","Abraham Baldwin Agricultural College","Georgia","3","0.441228","0.400371","0.509259","0.428753","1079","648","786"
"2016","138558","Abraham Baldwin Agricultural College","Georgia","5","0.442651","0.390735","0.512129","0.414013","993","742","785"
"2016","138558","Abraham Baldwin Agricultural College","Georgia","7","0.485545","0.452941","0.526786","0.468407","850","672","728"
"2016","138691","Darton State College","Georgia","3","0.288303","0.290323","0.283051","0.277587","3069","1180","2039"
"2016","138691","Darton State College","Georgia","5","0.342132","0.341732","0.34321","0.347023","2183","810","1461"
"2016","138691","Darton State College","Georgia","7","0.355836","0.355727","0.356143","0.347863","1816","643","1170"
"2016","138716","Albany State University","Georgia","3","0.205635","0.213189","0.191992","0.201049","1759","974","1144"
"2016","138716","Albany State University","Georgia","5","0.255971","0.275093","0.221604","0.273","1614","898","1000"
"2016","138716","Albany State University","Georgia","7","0.322295","0.358736","0.258537","0.32838","1076","615","673"
"2016","138789","Armstrong State University","Georgia","3","0.476537","0.464825","0.500898","0.465245","2317","1114","1266"
"2016","138789","Armstrong State University","Georgia","5","0.564733","0.565199","0.563654","0.535795","2385","1029","1327"
"2016","138789","Armstrong State University","Georgia","7","0.637765","0.631135","0.655714","0.609506","1895","700","1073"
"2016","138901","Atlanta Metropolitan State College","Georgia","3","0.222954","0.234517","0.2","0.219196","1211","610","771"
