"year","unitid","inst_name","state_name","number_applied","number_admitted","number_enrolled_ft","number_enrolled_pt","number_enrolled_total","zip","county_name","region","inst_control","institution_level","sector","postsec_public_active_title_iv","longitude","latitude","rev_tuition_fees_gross","rev_tuition_fees_net","rev_appropriations_fed","rev_appropriations_state","rev_appropriations_local","rev_grants_contracts_federal","rev_grants_contracts_state","rev_grants_contracts_local","rev_gifts_grants_contracts","rev_total_current","sch_total_student_aid","sch_exp_net_fellowships","exp_instruc_total","exp_instruc_salaries","exp_res_pub_serv_total","exp_res_pub_serv_salaries","exp_acad_inst_student_total","exp_acad_inst_student_salaries","exp_aux_ent_total","exp_aux_ent_salaries","exp_net_grant_aid_total","exp_net_grant_aid_salaries","exp_total_current","exp_total_salaries","endowment_beg","endowment_end","total_revenues_additions","total_expenses_deductions","net_position_beginning","net_position_end","cpi","hepi","heca","calc_fte"
"2013","174358","Minnesota State University-Moorhead","Minnesota","3562","3174","945","44","989","56563","Clay County","Plains: IA, KS, MN, MO, NE, ND, and SD","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-96.7634","46.8665","45084000","31931000","","28087000","","8553000","3248000","","2250000","101402000","14264000","861000","42982000","26283000","791000","335000","36533000","17653000","18374000","2821000","861000","","99542000","47092000","10087000","11603000","101402000","99542000","112208000","114068000","96.58","92.74","94.48","5801"
"2013","174783","Saint Cloud State University","Minnesota","5638","4900","1662","41","1703","56301-4498","Stearns County","Plains: IA, KS, MN, MO, NE, ND, and SD","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-94.153","45.5524","89913000","61465000","","58772000","","21181000","8411000","","3426000","198142000","31923000","3127000","89117000","55307000","5463000","2211000","76847000","37855000","30487000","6570000","3127000","","205606000","101943000","17517000","18365000","198142000","205606000","216351008","208887008","96.58","92.74","94.48","12953"
"2013","175078","Southwest Minnesota State University","Minnesota","2076","1359","449","4","453","56258-5468","Lyon County","Plains: IA, KS, MN, MO, NE, ND, and SD","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-95.7598","44.455","21530000","13958000","","15562000","","4865000","1985000","","1370000","47399000","8245000","549000","20785000","12264000","1082000","272000","20147000","9434000","6731000","1313000","549000","","49385000","23283000","2881000","3105000","47399000","49385000","66756000","64770000","96.58","92.74","94.48","4218"
"2013","175272","Winona State University","Minnesota","7212","4381","1639","11","1650","55987-5838","Winona County","Plains: IA, KS, MN, MO, NE, ND, and SD","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-91.6445","44.0466","62485000","46677000","","32033000","","9663000","5267000","","2739000","139967008","17132000","995000","53988000","32181000","1036000","274000","48828000","23805000","38148000","7552000","995000","","143067008","63812000","17478000","18771000","139967008","143067008","175596992","172496992","96.58","92.74","94.48","7993"
"2013","200697","Air Force Institute of Technology-Graduate School of Engineering & Management","Ohio","","","","","","45433-7765","Greene County","US service schools","Public","Four or more years","Public, four-year or above","Non-Title IV postsecondary institution that is NOT open to the public","-84.0872","39.7807","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.58","92.74","94.48","716"
"2013","200800","University of Akron Main Campus","Ohio","10575","10204","3605","207","3812","44325-4702","Summit County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-81.5103","41.0778","256593152","218423520","","97877160","","55749220","7893162","10029256","19592096","497926912","66870668","23568118","203615344","102326960","55029760","21012272","126615632","58421436","81135264","22003856","23568118","","490200736","203764528","206921968","238791520","497926912","490200736","488165152","495891328","96.58","92.74","94.48","20917"
"2013","201441","Bowling Green State University-Main Campus","Ohio","15689","11370","3330","18","3348","43403","Wood County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-83.6375","41.377","210394128","149549728","","69024608","","33900408","4779691","7358730","","374813504","82000536","18507576","147912688","89255168","13808664","5879843","85638128","47635284","81677120","18307884","18507576","","355147104","162179360","168007216","160076176","374813504","355147104","487582336","507248736","96.58","92.74","94.48","15603"
"2013","201690","Central State University","Ohio","7142","2377","411","9","420","45384-1004","Greene County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-83.8768","39.7165","11413936","7333963","","17301896","","14492430","694042","182707","128000","57742888","12570641","3537472","12861275","7882425","4283158","1786899","21102568","8759803","15847295","1772657","3537472","","57631768","20201784","2504456","2526780","57742888","57631768","76204136","76093088","96.58","92.74","94.48","1931"
"2013","201885","University of Cincinnati-Main Campus","Ohio","16002","11721","4431","55","4486","45221-0063","Hamilton County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-84.5143","39.1312","482266784","395486976","","172382128","","147539584","14084619","21156952","50122996","1118155392","121492216","26573772","317250592","174595504","267002976","104300976","290054528","112312928","103127776","22020332","26573772","","1006658752","413229760","1044197760","1182039680","1193250048","1083761152","1615151744","1718842752","96.58","92.74","94.48","29091"
"2013","201946","University of Cincinnati-Clermont College","Ohio","","","","","","45103","Clermont County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-84.1944","39.0806","18564060","15216674","","8156009","","7206990","2454","3045","156173","31337180","7122468","3742465","15978421","10225612","1294321","687936.81","10315976","3487855","358444","163488.33","3742465","","32572398","13565649","1437907","1638914","","","","","96.58","92.74","94.48","2644"
"2013","201955","University of Cincinnati-Blue Ash College","Ohio","","","","","","45236-1096","Hamilton County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-84.4004","39.233","25425464","20660546","","10287695","","8593142","","","208463","43757396","9052398","4240895","25761972","15567464","774934","159397","12049351","4250195","549971","199193","4240895","","44530012","20176248","213513","243874","","","","","96.58","92.74","94.48","3712"
"2013","202134","Cleveland State University","Ohio","6768","4255","1682","45","1727","44115-2214","Cuyahoga County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-81.673","41.5029","182056608","159789376","","68079520","","31192898","12991136","5072617","13841028","334746144","36649144","14381902","122635792","63974108","30752204","9178687","93824912","45010508","40190056","4700043","14381902","","309756320","122863344","7441212","7626068","334746144","309756320","367677984","392667808","96.58","92.74","94.48","13369"
"2013","203447","Kent State University at Ashtabula","Ohio","","","","","","44004","Ashtabula County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-80.8309","41.8889","9877169","8044245","","4297846","","1477476","179262","","497557","17420020","1884637","51713","8067642","4836929","80529","17985","6213592","1765993","538837","71569","51713","","14952313","6692476","","","","","","","96.58","92.74","94.48","1344"
"2013","203456","Kent State University at East Liverpool","Ohio","","","","","","43920","Columbiana County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-80.5769","40.6173","5517163","4493333","","2182914","","812791","2352","3112","5208","7770473","1040132","16302","4379214","2774449","35510","17990","3056855","870707","270388","31863","16302","","7758269","3695009","","","","","","","96.58","92.74","94.48","813"
"2013","203465","Kent State University at Stark","Ohio","","","","","","44720-7599","Stark County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-81.4373","40.8686","23446560","19095540","","8827012","","3561946","69019","31389","1500","36228104","4626651","275631","15848720","10163838","1105249","439802","13578813","3927400","3222808","806918","275631","","34031220","15337958","","","","","","","96.58","92.74","94.48","3291"
"2013","203474","Kent State University at Trumbull","Ohio","","","","","","44483","Trumbull County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-80.8374","41.2792","14166337","11612944","","4788188","","2057919","117416","19893","14170","19000598","2553393","","9440647","5758435","1386502","593487","7337509","1728055","","","","","18164658","8079977","","","","","","","96.58","92.74","94.48","1797"
"2013","203483","Kent State University at Tuscarawas","Ohio","","","","","","44663-9403","Tuscarawas County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-81.4077","40.4677","10083613","8212379","","4932148","","1791046","72694","","1895498","20452534","2297784","426550","8415252","4997626","874888","279643","5256096","1549755","2663739","405711","426550","","17636524","7232735","","","","","","","96.58","92.74","94.48","1492"
"2013","203492","Kent State University at Salem","Ohio","","","","","","44460","Columbiana County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-80.8355","40.8641","7687671","6261056","","3992883","","1119710","25714","14993","499","11950298","1438800","12185","7579234","4960198","23923","3452","4013418","1097544","441449","48081","12185","","12070209","6109275","","","","","","","96.58","92.74","94.48","1164"
"2013","203517","Kent State University at Kent","Ohio","15970","13259","3929","182","4111","44242-0001","Portage County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-81.3423","41.1469","324871776","265344832","","104016216","","71154448","10167453","4268027","9129568","611620352","102591104","42226640","206337568","117651672","35963384","13835694","151004752","75307408","108458112","27033456","42226640","","543990464","233828240","100467792","116794720","738523008","662006976","754372032","827246016","96.58","92.74","94.48","24549"
"2013","203526","Kent State University at Geauga","Ohio","","","","","","44021","Geauga County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-81.1431","41.4837","10209102","8314581","","3736373","","1483058","9602","1018","","14080588","1910502","15981","7026588","4369118","","","6360775","1544877","","","15981","","13403344","5913995","","","","","","","96.58","92.74","94.48","1422"
"2013","204006","Miami University-Hamilton","Ohio","","","","","","45011","Butler County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-84.5632","39.3774","21460814","14948698","","8318971","","7301546","3916","220601","329443","31890468","8013505","1501389","12832706","8285731","928538","327541","11463433","4330162","","","1501389","","26726066","12943434","","","","","","","96.58","92.74","94.48","2965"
"2013","204015","Miami University-Middletown","Ohio","","","","","","45042","Butler County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-84.3572","39.5238","12199933","8114817","","5579542","","4418222","13131","164292","283123","19567328","5026952","941836","8999563","5695885","857688","349517","9115626","3314869","","","941836","","19914712","9360271","","","","","","","96.58","92.74","94.48","1690"
"2013","204024","Miami University-Oxford","Ohio","22520","15034","3637","7","3644","45056","Butler County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-84.7318","39.5096","356280192","292132256","","58500604","","24952880","1713378","2463752","20711052","617165760","84802376","15532621","185564944","92228920","19010112","7085899","129041488","60648264","129803024","36044580","15532621","","485422592","196031216","571684736","635188800","668623552","532063392","984028800","1120588928","96.58","92.74","94.48","16731"
"2013","204477","Northeast Ohio Medical University","Ohio","","","","","","44272-0095","Portage County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-81.2453","41.1029","27355324","26474532","","19472518","","9045829","2660523","1625028","1317690","72781256","989518","108726","21258984","8340291","15448481","6031552","27915054","11828324","1199559","632940","108726","","65930804","26833108","9871119","11208789","72781256","65930804","108227224","114825032","96.58","92.74","94.48","827"
"2013","204671","Ohio State University-Lima Campus","Ohio","","","","","","45804","Allen County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-84.0262","40.7378","7955234","6699683","","3658457","","1680667","","","273951","12348412","2281148","1025597","8461157","5068704","216619","25838.66","4294416","2241710","","","1025597","","13997789","7295463","4851499","4895147","12348412","13997789","10916939","10104715","96.58","92.74","94.48","959"
"2013","204680","Ohio State University-Mansfield Campus","Ohio","","","","","","44906","Richland County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-82.5787","40.7973","9119634","7490648","","4229631","","2366168","","","338419","15711832","2959622","1330636","9026744","5221690.5","180258","24294.97","5960161","2410974.5","","","1330636","","16497799","7456208","2050691","2105285","15711832","16497799","29914374","30204588","96.58","92.74","94.48","1072"
"2013","204699","Ohio State University-Marion Campus","Ohio","","","","","","43302-5695","Marion County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-83.0859","40.5794","9256515","7364553","","4287382","","2283621","88973","6550","660181","17138784","3437411","1545449","8385249","4595234.5","966485","122243.01","5869392","2646613.5","","","1545449","","16766575","7243306","4765444","4840932","17138784","16766575","40907944","42174096","96.58","92.74","94.48","1088"
"2013","204705","Ohio State University-Newark Campus","Ohio","","","","","","43055","Licking County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-82.448","40.0684","16251024","13594361","","6091813","","4181882","","413840","158893","24781216","4826757","2170094","12343286","8660980","124152","33900.19","9458048","3538664.25","","","2170094","","24095580","12181511","3287025","3417819","24781216","24095580","52501072","53633612","96.58","92.74","94.48","2062"
"2013","204796","Ohio State University-Main Campus","Ohio","31359","17413","7121","9","7130","43210","Franklin County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-83.009","39.9984","932153152","776153152","","419233920","","400176320","79484384","242415424","136767920","5706164736","283428512","104060392","988132928","563402240","651564544","267451872","594058752","265361440","264690992","109155128","104060392","","4990173184","2226735104","3130941696","3595323136","5706164736","4990173184","5855391232","6565741056","96.58","92.74","94.48","52883"
"2013","204802","Ohio University-Eastern Campus","Ohio","","","","","","43950","Belmont County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-80.9626","40.0805","3594222","2158295","","2189340","","1156251","129173","","","5851116","1618211","182284","3684980","2358441","17875","6888","2171377","941473","","","182284","","6056516","3306802","","","","","","","96.58","92.74","94.48","709"
"2013","204820","Ohio University-Chillicothe Campus","Ohio","","","","","","45601-0629","Ross County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-83.005","39.3281","9679670","4418847","","5654634","","5518985","152035","1060","","16067985","5928658","667835","9512951","5707095","432599","193424","4014358","1602364","","","667835","","14627743","7502883","","","","","","","96.58","92.74","94.48","1617"
"2013","204839","Ohio University-Southern Campus","Ohio","","","","","","45638","Lawrence County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-82.6669","38.5251","8375872","3635904","","4568604","","4570706","209599","27650","","13236626","5341683","601715","8844723","5375682","252771","92719","3842570","1741856","","","601715","","13541779","7210257","","","","","","","96.58","92.74","94.48","1448"
"2013","204848","Ohio University-Lancaster Campus","Ohio","","","","","","43130-1037","Fairfield County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-82.5861","39.7388","10979030","6113627","","4815624","","4300891","394038","136","","16011545","5483041","617638","8378194","5379481","218286","118673","3789560","1805572","","","617638","","13003678","7303726","","","","","","","96.58","92.74","94.48","1776"
"2013","204857","Ohio University-Main Campus","Ohio","20765","15149","4235","9","4244","45701-2979","Athens County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-82.1011","39.3268","339470144","289339104","","128840480","","50244000","8078254","12267090","4560194","678227328","68704152","7739198","262180848","123939872","86222992","29658762","184824592","73626544","77373008","29090444","7739198","","618478080","256315616","446747520","515912544","742320704","677961088","847759104","912118720","96.58","92.74","94.48","23109"
"2013","204866","Ohio University-Zanesville Campus","Ohio","","","","","","43701","Muskingum County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-82.0311","39.961","8046278","4470422","","5148312","","2944478","167817","1772","","12926124","4029794","453938","8544219","5845446","24194","1489","3230956","1157285","","","453938","","12253307","7004220","","","","","","","96.58","92.74","94.48","1352"
"2013","205443","Shawnee State University","Ohio","","","","","","45662","Scioto County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-82.9954","38.7309","36337704","24209356","","15916302","","13325043","2692593","1509030","","65026936","18962688","6834336","23057126","13793411","2572554","1431551","19641192","9163827","10137061","2178378","6834336","","62388600","26567168","15227858","18127468","65026936","62388600","89408656","92047000","96.58","92.74","94.48","3964"
"2013","206084","University of Toledo","Ohio","11066","10040","3339","89","3428","43606-3390","Lucas County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-83.6152","41.658","276001600","208896608","","103356600","","55007000","20056454","20694964","3233017","884326336","98336208","25651584","235524112","120573776","63304412","22766006","125156736","61524668","60300708","14344488","25651584","","860194304","367839488","239334336","279909824","884326336","860194304","650489344","674468672","96.58","92.74","94.48","17960"
"2013","206604","Wright State University-Main Campus","Ohio","","","","","","45435-0001","Greene County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-84.0649","39.7806","177572096","138314096","","82177056","","50703736","9651427","37101768","7351158","374385760","60415560","19199562","133701504","94426576","48994200","22722752","105776736","50885904","21052874","6959921.5","19199562","","378222784","171690336","108590576","120661152","385003584","388274528","393239136","389968224","96.58","92.74","94.48","14376"
"2013","206613","Wright State University-Lake Campus","Ohio","","","","","","45822-2952","Mercer County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-84.5094","40.5475","5917040","5917040","","2970523","","1310307","17261","251640","","10617833","1515297","1515297","4625806","2896949","6197","3199.98","3877120","1367601.75","","","1515297","","10051719","4263782","","","","","","","96.58","92.74","94.48","912"
"2013","206695","Youngstown State University","Ohio","","","","","","44555-0001","Mahoning County","Great Lakes: IL, IN, MI, OH, and WI","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-80.6465","41.1056","109491840","87064560","","37712280","","27864020","4884522","526254","9560647","205722240","39553800","17126520","81331840","50758572","8002388","3796057","60179412","28696952","36480864","9319601","17126520","","203121024","92571184","210998016","232153776","205722240","203121024","192035952","194637168","96.58","92.74","94.48","11350"
"2013","222831","Angelo State University","Texas","2599","2092","1207","13","1220","76909","Tom Green County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-100.466","31.4415","47495008","36775196","","33866544","","13624656","5206824","576877","4900676","121996104","27746164","12872420","42935180","23001600","3194440","1483480","29852404","14574078","18319020","4962540","12872420","","116721992","44021696","130768224","149857472","121996104","116721992","89912528","95082912","96.58","92.74","94.48","5701"
"2013","223214","Texas A & M University Health Science Center","Texas","","","","","","77807","Brazos County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-96.3853","30.5921","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2013","223506","Brazosport College","Texas","","","","","","77566-3199","Brazoria County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-95.409","29.0484","12033198","9678512","","7421937","13443042","4997292","1365425","1859333","","45536232","2897399","542713","23811984","10365657","272551","151190","13859019","6086755","790737","113748","542713","","41651692","16717350","4753331","4939978","45536232","41651692","38319844","42204384","96.58","92.74","94.48","2242"
"2013","224147","Texas A & M University-Corpus Christi","Texas","7091","6565","2002","49","2051","78412-5503","Nueces County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-97.3319","27.7186","82112048","63892660","","59462160","","29275946","6547909","6526797","6124344","200309184","33614284","15394893","60723608","34618304","23313636","9870567","52473200","23117104","20845146","6942166","15394893","","189637056","74548144","11282209","13673273","200309184","189637056","309061312","319733408","96.58","92.74","94.48","9032"
"2013","224545","Texas A & M University-Texarkana","Texas","830","309","181","6","187","75503","Bowie County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-94.104","33.4956","10112375","6473996","","18371806","","4097551","612071","212420","1759841","37778704","6795145","2849661","13438665","6770894","262217","147826","12706107","4573233","1743810","582035","2849661","","37250692","12073988","4204321","5065524","37778704","37250692","133627696","133032008","96.58","92.74","94.48","1327"
"2013","224554","Texas A & M University-Commerce","Texas","4236","2888","920","23","943","75429-3011","Hunt County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-95.9069","33.2438","76936144","60643812","","45292780","","21145292","4786313","691248","1665056","179535328","36927904","17325958","64392064","34381956","6141443","2463564","40389304","16890960","22267888","6327801","17325958","","162521552","60064280","16529016","19565376","179535328","162521552","227477872","244480160","96.58","92.74","94.48","8448"
"2013","225414","University of Houston-Clear Lake","Texas","","","","","","77058-1002","Harris County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-95.0981","29.5825","57842280","53209336","","30891158","","11473453","2279682","667197","580073","113030656","17406932","12773986","44434328","29022844","2469202","975408","40155196","17658976","5869686","3225447","12773986","","111751424","50882676","26016708","27596116","113030656","111751424","93318792","94608128","96.58","92.74","94.48","5436"
"2013","225432","University of Houston-Downtown","Texas","3096","2944","1007","123","1130","77002-1014","Harris County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-95.3595","29.7638","74478216","60446864","","27354006","","32128760","7694299","111474","1263992","154867744","45440612","31189816","44992096","31324268","6996894","2819945","47690596","22915488","12361649","3338166","31189816","","149190816","60477464","36917036","41701624","154867744","149190816","122026136","127590472","96.58","92.74","94.48","9680"
"2013","225502","University of Houston-Victoria","Texas","3128","1596","300","10","310","77901","Victoria County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-96.9782","28.8164","24089996","18136948","","18962140","","6152408","1602529","537523","1015110","57684364","10904560","4022034","25265282","14910920","1311111","680959.44","20066116","8636227","3243650","219515.88","4022034","","57418352","24384600","15957278","17518990","57684364","57418352","24680624","24946636","96.58","92.74","94.48","2864"
"2013","225511","University of Houston","Texas","17407","10167","3321","113","3434","77204-2018","Harris County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-95.3448","29.72","424994336","327087072","","176239376","","117654800","36368444","32345848","64472284","1020492800","168333136","61163212","264315312","164484128","185518048","71513136","309860480","136606016","112094104","29402792","61163212","","985825536","402844160","608081088","684517760","1020492800","985825536","1163359488","1200539008","96.58","92.74","94.48","32856"
"2013","226091","Lamar University","Texas","4788","3678","1400","51","1451","77705","Jefferson County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-94.0734","30.0443","109541904","97337504","","50352380","","20501950","5994568","718124","3397563","211505264","37631304","25426910","69570624","41293976","5129797","1859437","63707928","23280472","30496770","7941523","25426910","","209526176","74375408","27556172","29550936","211505264","209526176","245311760","247303312","96.58","92.74","94.48","9888"
"2013","226152","Texas A & M International University","Texas","4784","2289","819","9","828","78041-1900","Webb County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-99.4352","27.5735","41155968","20555736","","34504344","","28779368","7671180","560623","2269413","118536440","31372872","9373130","29888572","16974966","6618431","3141357","42823232","17662344","6779559","1420935","9373130","","96327768","39603472","31828112","36580380","118536440","96327768","218034096","227332656","96.58","92.74","94.48","5466"
"2013","226806","Midland College","Texas","","","","","","79705","Midland County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-102.105","32.0286","13900762","9778001","","11106290","23785556","5549001","880887","2792887","1490596","57949008","7380275","2908599","23986080","12913595","3323847","1567831.63","19804482","9139794","4717413","1076851.75","2908599","","54740424","23445366","29342560","34541844","57949008","54740424","88961080","92169664","96.58","92.74","94.48","3028"
"2013","226833","Midwestern State University","Texas","3023","2170","831","16","847","76308-2099","Wichita County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-98.5177","33.8771","42014124","31281820","","21940796","","8976905","3552864","975811","7380693","106490408","21270756","10457933","42192544","20166742","1678897","571070","33891216","12932307","6992166","1429160","10457933","","95990344","35099280","18573596","20918740","106490408","95990344","97003664","107486224","96.58","92.74","94.48","4722"
"2013","227216","University of North Texas","Texas","18299","10922","4536","81","4617","76203-1277","Denton County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-97.1512","33.211","325769184","245588352","","130283400","","72223936","25812130","5612148","11061079","631866048","143500544","63319716","254612592","139119488","34859464","15332854","172134992","73256464","46953648","17000932","63319716","","599077696","244709744","124016880","145656176","631866048","599077696","543890240","557313984","96.58","92.74","94.48","31570"
"2013","227368","The University of Texas-Pan American","Texas","9313","5790","2891","211","3102","78539-2999","Hidalgo County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-98.1721","26.3066","99632120","69118608","","73247904","","70742704","30128868","1919948","3237131","282398432","83833088","53319576","104335904","66432444","17140180","8926758","69157984","35068456","19545520","7536969","53319576","","277247328","118237024","33848616","37817896","282398432","277247328","365404832","382772128","96.58","92.74","94.48","16449"
"2013","227377","The University of Texas at Brownsville","Texas","","","","","","78520","Cameron County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-97.4866","25.8936","41205328","30208536","","30371846","","31396802","7620673","566218","289955","123199088","34983136","23986342","42048472","21907860","11288002","5332436","36694584","16148728","7429269","2663479","23986342","","121619664","46052504","9196614","10291884","123199088","121619664","173450768","179072400","96.58","92.74","94.48","8511"
"2013","227526","Prairie View A & M University","Texas","10747","4548","1462","2","1464","77446","Waller County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-95.9921","30.0946","70486832","39655260","8740066","51654136","","34636768","6695956","615207","3834263","229217088","50055760","15572533","49639776","28939828","23525298","10962793","59172984","22817836","26800052","5498830","15572533","","191074800","69674640","60242272","71142360","229217088","191074800","463801952","501944256","96.58","92.74","94.48","7375"
"2013","227881","Sam Houston State University","Texas","9315","6054","2351","62","2413","77340","Walker County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-95.5519","30.7247","160841840","120718384","","54492800","","34245344","11890652","267179","4405610","314670784","66034560","25911100","98349440","61575052","18605944","8023869.5","88362000","40084028","45080600","10102760","25911100","","295005664","118906920","74233312","91330768","314670784","295005664","473317152","483279968","96.58","92.74","94.48","16090"
"2013","228431","Stephen F Austin State University","Texas","11383","6474","2227","26","2253","75961","Nacogdoches County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-94.5855","31.5856","94666184","75798000","","52451320","","26757212","9955105","822869","3352858","221134576","46481272","18599108","76634120","46651428","8203746","3355878.5","69379344","27867420","37267048","9126152","18599108","","211691328","85757072","59287456","71037968","221134576","211691328","136763184","118596544","96.58","92.74","94.48","11006"
"2013","228459","Texas State University","Texas","18939","14219","5135","46","5181","78666","Hays County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-97.9364","29.8892","300596032","223485488","","134672800","","65924648","41121024","5979317","8973650","637175616","122992864","45882320","201053312","122428760","46076252","18969006","128382800","60127344","89723312","15883285","45882320","","564061376","218822448","139485776","161626016","637175616","564061376","1090411264","1163525632","96.58","92.74","94.48","31070"
